21,0.002209,21,0.002442,21,0.001709,21,0.002746,21,0.003972,21,0.00241,21,0.002477,21,0.002393,21,0.003942,21,0.003471,21,0.001917,21,0.002199,21,0.002135,21,0.004422,21,0.002833,21,0.003956,21,0.001553,21,0.001238,21,0.004446,21,0.001986,21,0.003161,21,0.002797,21,0.001857,21,0.001001,21,0.003087,21,0.002235,21,0.002488,21,0.00342,21,0.0035,21,0.002265
22,0.001584,22,0.00169,22,0.0008456,22,0.001946,22,0.002865,22,0.001583,22,0.002156,22,0.00181,22,0.002722,22,0.002702,22,0.001083,22,0.001315,22,0.001729,22,0.003151,22,0.001988,22,0.003103,22,0.001152,22,0.0008352,22,0.003287,22,0.001177,22,0.002265,22,0.001746,22,0.001512,22,0.0005676,22,0.002302,22,0.00142,22,0.001561,22,0.002452,22,0.002526,22,0.001429
23,0.001089,23,0.001514,23,0.0002334,23,0.00116,23,0.002227,23,0.001002,23,0.001816,23,0.001615,23,0.001986,23,0.002228,23,0.0006391,23,0.0009731,23,0.001227,23,0.002289,23,0.001982,23,0.00232,23,0.001078,23,0.0008088,23,0.002357,23,0.0008571,23,0.001332,23,0.001189,23,0.001075,23,0.0002784,23,0.002079,23,0.0007882,23,0.001014,23,0.001734,23,0.001936,23,0.001021
24,0.0009051,24,0.001217,24,0.00021,24,0.000728,24,0.001821,24,0.0008983,24,0.00156,24,0.001614,24,0.001514,24,0.002121,24,0.0003832,24,0.00077,24,0.0009523,24,0.00172,24,0.001247,24,0.001644,24,0.0009369,24,0.0008796,24,0.001843,24,0.0007069,24,0.0007777,24,0.000955,24,0.0007421,24,0.0001846,24,0.00147,24,0.0004014,24,0.0006295,24,0.001361,24,0.00169,24,0.0006537
25,0.0007217,25,0.000847,25,0.0002249,25,0.0004485,25,0.001299,25,0.0007136,25,0.001322,25,0.001419,25,0.001135,25,0.001887,25,0.0003715,25,0.001121,25,0.0007944,25,0.001461,25,0.0006973,25,0.001175,25,0.0009461,25,0.0008792,25,0.001364,25,0.0006338,25,0.0004417,25,0.0009196,25,0.0003674,25,0.0003198,25,0.001175,25,0.0004233,25,0.0004953,25,0.001171,25,0.001482,25,0.0005939
26,0.0007646,26,0.0009372,26,0.000368,26,0.0004137,26,0.0009986,26,0.0006806,26,0.001121,26,0.001214,26,0.001178,26,0.001649,26,0.0004907,26,0.001512,26,0.0006211,26,0.001193,26,0.0007191,26,0.0009102,26,0.0009145,26,0.0006971,26,0.0008786,26,0.000604,26,0.000331,26,0.0008085,26,0.0002788,26,0.0006073,26,0.001221,26,0.0004334,26,0.0004613,26,0.0008523,26,0.001352,26,0.0004163
27,0.001048,27,0.0006142,27,0.0005307,27,0.0002981,27,0.0008959,27,0.0005598,27,0.001082,27,0.001129,27,0.00117,27,0.001633,27,0.0007886,27,0.001394,27,0.0003809,27,0.0009139,27,0.0007922,27,0.0005274,27,0.0009974,27,0.0008066,27,0.0006122,27,0.0005971,27,0.0004286,27,0.0009918,27,0.0002869,27,0.0005265,27,0.0008673,27,0.0005011,27,0.0006889,27,0.0007033,27,0.001211,27,0.0003349
28,0.001065,28,0.0004611,28,0.0007473,28,0.000143,28,0.0008192,28,0.0004445,28,0.001031,28,0.001136,28,0.0009943,28,0.001252,28,0.0008597,28,0.001362,28,0.0002535,28,0.0007199,28,0.0006246,28,0.0004136,28,0.00109,28,0.0007886,28,0.0003196,28,0.0007798,28,0.0004102,28,0.0008442,28,0.00008299,28,0.0005883,28,0.0008827,28,0.0005457,28,0.0007369,28,0.000627,28,0.001044,28,0.0004796
29,0.0009992,29,0.0003311,29,0.000876,29,0.0004478,29,0.0009311,29,0.0005012,29,0.0008273,29,0.0009518,29,0.0008544,29,0.001395,29,0.001096,29,0.001485,29,0.0000556,29,0.0006133,29,0.0006073,29,0.0002539,29,0.001122,29,0.0006705,29,0.0002505,29,0.0009247,29,0.0003551,29,0.0007595,29,0.00004611,29,0.0006325,29,0.001018,29,0.0006812,29,0.0008563,29,0.0006286,29,0.0009994,29,0.0005373
30,0.0007372,30,0.0003535,30,0.0008469,30,0.0006894,30,0.000875,30,0.0004785,30,0.0009295,30,0.0008143,30,0.0006429,30,0.001289,30,0.001137,30,0.001613,30,0.00006951,30,0.0001891,30,0.001209,30,0.0001488,30,0.001237,30,0.0004727,30,0.0004056,30,0.0007779,30,0.0001793,30,0.0006892,30,0.00007607,30,0.0003651,30,0.001045,30,0.0006724,30,0.001079,30,0.0005963,30,0.0009218,30,0.0005693
