11,0.0003741,11,0.0003213,11,0.0002008,11,0.0005884,11,0.0005168,11,0.0003533,11,0.0005186,11,0.0004332,11,0.0007004,11,0.001207,11,0.0005735,11,0.0005287,11,0.0004263,11,0.0001338,11,0.0005286,11,0.0003577,11,0.0007724,11,0.0002643,11,0.0004628,11,0.0004083,11,0.0003471,11,0.0003875,11,0.0004551
12,0.0007775,12,0.0007126,12,0.0005054,12,0.0009227,12,0.0008814,12,0.0005469,12,0.0007224,12,0.0007364,12,0.001059,12,0.001336,12,0.0009908,12,0.0005848,12,0.0007143,12,0.0003686,12,0.0007158,12,0.0008589,12,0.001111,12,0.000541,12,0.0006946,12,0.0007219,12,0.0006208,12,0.0006741,12,0.0007019
13,0.001058,13,0.001064,13,0.0008203,13,0.001021,13,0.001155,13,0.0009543,13,0.001127,13,0.00104,13,0.001322,13,0.001617,13,0.001178,13,0.001053,13,0.001058,13,0.0007782,13,0.001144,13,0.001122,13,0.001381,13,0.0007626,13,0.0007991,13,0.0009973,13,0.0008266,13,0.00102,13,0.001013
14,0.001315,14,0.001177,14,0.001006,14,0.001068,14,0.001255,14,0.001269,14,0.001281,14,0.001257,14,0.001441,14,0.001942,14,0.001324,14,0.001182,14,0.001298,14,0.001055,14,0.001344,14,0.001246,14,0.001578,14,0.001023,14,0.0009824,14,0.001178,14,0.0009658,14,0.00139,14,0.001156
15,0.001347,15,0.001283,15,0.001307,15,0.001196,15,0.001326,15,0.0015,15,0.001378,15,0.001295,15,0.001516,15,0.001902,15,0.001378,15,0.001402,15,0.001411,15,0.001045,15,0.001351,15,0.001267,15,0.001613,15,0.001126,15,0.001165,15,0.001126,15,0.001101,15,0.001474,15,0.001269
16,0.001297,16,0.001287,16,0.001195,16,0.0009933,16,0.001257,16,0.001478,16,0.001165,16,0.001187,16,0.001515,16,0.001894,16,0.001371,16,0.001315,16,0.001372,16,0.001003,16,0.001343,16,0.001245,16,0.001442,16,0.0008834,16,0.001265,16,0.001228,16,0.001075,16,0.00145,16,0.001207
17,0.001105,17,0.001111,17,0.0009397,17,0.000608,17,0.001188,17,0.00136,17,0.0008857,17,0.0009939,17,0.001297,17,0.00175,17,0.0011,17,0.001251,17,0.001204,17,0.001019,17,0.001149,17,0.001141,17,0.001228,17,0.00084,17,0.001209,17,0.001084,17,0.001003,17,0.001317,17,0.001116
18,0.0008014,18,0.0009564,18,0.0007052,18,0.0004992,18,0.0009178,18,0.001327,18,0.0009554,18,0.0006325,18,0.001151,18,0.001621,18,0.0008165,18,0.0009795,18,0.0009773,18,0.0008263,18,0.000666,18,0.0007655,18,0.0009215,18,0.0007693,18,0.001023,18,0.0007727,18,0.0007835,18,0.001159,18,0.0006902
19,0.000385,19,0.0006831,19,0.0003041,19,0.0002545,19,0.0004701,19,0.001005,19,0.000686,19,0.0002933,19,0.0009312,19,0.001488,19,0.0004233,19,0.0005696,19,0.0006217,19,0.0006882,19,0.0003568,19,0.0005373,19,0.0006039,19,0.0003429,19,0.0007149,19,0.0005335,19,0.0002593,19,0.0008895,19,0.000314
20,0.0001009,20,0.0003253,20,0.00006637,20,-8.91E-06,20,0.000242,20,0.0005868,20,0.0003747,20,0.0001142,20,0.0006948,20,0.001167,20,0.0002195,20,0.0003148,20,0.0002105,20,0.0002529,20,0.00003394,20,0.0001899,20,0.0003703,20,-9.65E-06,20,0.0002928,20,0.0002074,20,0.00002485,20,0.0005591,20,0.0002338
21,-0.0001053,21,0.00002174,21,-0.0001282,21,-0.0001173,21,-0.00002622,21,0.0002907,21,0.00006281,21,-0.00008488,21,0.0003388,21,0.0006947,21,0.0002128,21,0.0002176,21,0.00004225,21,0.00002787,21,-0.0001309,21,0.00001007,21,0.00006673,21,-0.00004127,21,0.00002926,21,-0.00002218,21,-0.0001423,21,0.0005115,21,-0.00008367
22,-0.0002804,22,-0.0003252,22,-0.0001718,22,-0.0002406,22,-0.000106,22,0.00001104,22,-0.00007043,22,-0.0001395,22,0.00006729,22,0.000077,22,0.0001506,22,0.00006955,22,-0.0001788,22,-0.0001236,22,-0.0003239,22,-0.0002139,22,-0.00005777,22,-0.00006363,22,-0.0001535,22,-0.00006712,22,-0.0001914,22,0.0002868,22,-0.00004842
23,-0.0002872,23,-0.0004147,23,-0.0003225,23,-0.000141,23,-0.0002383,23,-0.0002737,23,-0.0001163,23,-0.0003401,23,0.00003521,23,-0.0003329,23,-0.0002432,23,-0.0002674,23,-0.0003264,23,-0.0001107,23,-0.000377,23,-0.0000565,23,-0.0001978,23,-0.000138,23,-0.0002125,23,-0.0001272,23,-0.0002227,23,0.00009843,23,-0.00003116
24,-0.0003669,24,-0.000459,24,-0.0000385,24,-0.0001526,24,-0.0002189,24,-0.0001819,24,-0.0001268,24,-0.000276,24,-9.76E-06,24,-0.0004311,24,-0.0002753,24,-0.000152,24,-0.0001558,24,-0.000211,24,-0.0003208,24,-0.0001934,24,-0.0003044,24,-0.0001522,24,-0.0003537,24,-0.0002557,24,-0.0002174,24,0.00002532,24,-0.00005304
25,-0.0002763,25,-0.0004517,25,-0.0001955,25,-0.0001518,25,-0.000184,25,-0.0001442,25,-0.000147,25,-0.0002425,25,0.00004088,25,-0.0001619,25,-0.00035,25,-0.000166,25,-0.0002619,25,-0.0003381,25,-0.0002849,25,-0.0002852,25,-0.0003609,25,-0.00006049,25,-0.0003843,25,-0.0001544,25,-0.0002075,25,0.0001141,25,-7.62E-06
