15,0.003532,15,0.002077,15,0.002447,15,0.001817,15,0.003165,15,0.003216,15,0.003128,15,0.003134,15,0.003102,15,0.00216,15,0.002177,15,0.002379,15,0.003436,15,0.002362,15,0.003639,15,0.002356,15,0.002771,15,0.003328,15,0.003564,15,0.003568,15,0.003616,15,0.003192,15,0.003978,15,0.003978,15,0.002488,15,0.002222,15,0.002806,15,0.001971
16,0.003394,16,0.001942,16,0.002273,16,0.001714,16,0.003391,16,0.003251,16,0.002967,16,0.003079,16,0.00311,16,0.001903,16,0.002645,16,0.002304,16,0.003452,16,0.002157,16,0.003401,16,0.00214,16,0.003058,16,0.003224,16,0.003414,16,0.003641,16,0.003329,16,0.003227,16,0.003779,16,0.003779,16,0.002414,16,0.001927,16,0.002719,16,0.001991
17,0.002677,17,0.001531,17,0.001879,17,0.001387,17,0.003011,17,0.002652,17,0.002334,17,0.00261,17,0.002694,17,0.001416,17,0.00245,17,0.001946,17,0.003058,17,0.001652,17,0.002972,17,0.001658,17,0.002935,17,0.002476,17,0.002919,17,0.003336,17,0.002716,17,0.002854,17,0.003351,17,0.003351,17,0.001997,17,0.001537,17,0.002205,17,0.00136
18,0.002006,18,0.000976,18,0.001069,18,0.0009095,18,0.002338,18,0.001815,18,0.001586,18,0.002313,18,0.002163,18,0.0004905,18,0.001979,18,0.001267,18,0.002191,18,0.0007598,18,0.001938,18,0.001078,18,0.002327,18,0.001916,18,0.002104,18,0.00237,18,0.001881,18,0.002185,18,0.002576,18,0.002576,18,0.001268,18,0.0009964,18,0.001152,18,0.000582
19,0.001217,19,0.0001372,19,0.0000826,19,0.00008589,19,0.001815,19,0.0009723,19,0.0005419,19,0.001647,19,0.001411,19,-0.0002307,19,0.001559,19,0.0005142,19,0.001387,19,-0.0000783,19,0.0009343,19,0.000501,19,0.001717,19,0.0009566,19,0.0008873,19,0.001413,19,0.000895,19,0.001215,19,0.001514,19,0.001514,19,0.000662,19,0.000117,19,0.0001375,19,-0.0001559
20,0.0001484,20,-0.0006533,20,-0.0006212,20,-0.0007549,20,0.0007642,20,-0.000123,20,-0.0001115,20,0.001139,20,0.0005737,20,-0.001015,20,0.0008324,20,-0.0005899,20,0.0001304,20,-0.0005544,20,0.0001364,20,-0.0001815,20,0.00107,20,0.0001206,20,-0.0003862,20,0.0005322,20,0.0001153,20,0.0003365,20,0.0004402,20,0.0004402,20,-0.00002141,20,-0.0007639,20,-0.0004954,20,-0.0008075
21,-0.0006698,21,-0.001479,21,-0.001144,21,-0.00144,21,-0.0003341,21,-0.0006839,21,-0.0006011,21,0.0002432,21,-0.0002537,21,-0.001585,21,-0.0000869,21,-0.001087,21,-0.0009576,21,-0.001051,21,-0.0008847,21,-0.000652,21,0.0002226,21,-0.0004483,21,-0.001394,21,-0.0004939,21,-0.0007748,21,-0.000696,21,-0.0003161,21,-0.0003161,21,-0.0006003,21,-0.001554,21,-0.001371,21,-0.001549
22,-0.001386,22,-0.002021,22,-0.001633,22,-0.001724,22,-0.0009979,22,-0.001116,22,-0.0009908,22,-0.0006607,22,-0.0008137,22,-0.001799,22,-0.0008408,22,-0.001718,22,-0.001407,22,-0.001441,22,-0.001263,22,-0.001002,22,-0.0005754,22,-0.001174,22,-0.002152,22,-0.0011,22,-0.001441,22,-0.001077,22,-0.0007909,22,-0.0007909,22,-0.001181,22,-0.002163,22,-0.001717,22,-0.002294
23,-0.001536,23,-0.002183,23,-0.001891,23,-0.001924,23,-0.001066,23,-0.001249,23,-0.001412,23,-0.001065,23,-0.001143,23,-0.001812,23,-0.001255,23,-0.00214,23,-0.001771,23,-0.001709,23,-0.001515,23,-0.001318,23,-0.001304,23,-0.001623,23,-0.002689,23,-0.001712,23,-0.001722,23,-0.001216,23,-0.001132,23,-0.001132,23,-0.001686,23,-0.002218,23,-0.002077,23,-0.002445
24,-0.001484,24,-0.002262,24,-0.002041,24,-0.002199,24,-0.001554,24,-0.001228,24,-0.001613,24,-0.001617,24,-0.001129,24,-0.002002,24,-0.001708,24,-0.002411,24,-0.001932,24,-0.002091,24,-0.001636,24,-0.001414,24,-0.001543,24,-0.002019,24,-0.003057,24,-0.002021,24,-0.002106,24,-0.00156,24,-0.001238,24,-0.001238,24,-0.001916,24,-0.002326,24,-0.002237,24,-0.002629
25,-0.001547,25,-0.002237,25,-0.002119,25,-0.001994,25,-0.001737,25,-0.001063,25,-0.001393,25,-0.001857,25,-0.0009971,25,-0.002149,25,-0.001681,25,-0.0024,25,-0.002226,25,-0.002151,25,-0.001345,25,-0.001344,25,-0.001577,25,-0.001869,25,-0.003114,25,-0.001778,25,-0.001985,25,-0.001676,25,-0.001289,25,-0.001289,25,-0.002111,25,-0.002346,25,-0.002254,25,-0.002644
26,-0.001574,26,-0.002152,26,-0.00213,26,-0.002066,26,-0.001712,26,-0.001025,26,-0.001631,26,-0.001954,26,-0.001005,26,-0.002147,26,-0.001728,26,-0.002387,26,-0.002101,26,-0.002244,26,-0.001331,26,-0.001313,26,-0.00169,26,-0.002003,26,-0.003002,26,-0.002063,26,-0.002099,26,-0.001429,26,-0.001384,26,-0.001384,26,-0.002279,26,-0.002374,26,-0.002321,26,-0.002622
