21,-261.7252,21,-386.5173,21,-379.5014,21,-333.4246,21,-301.1957,21,-266.6591,21,-312.3626,21,-369.9478,21,-390.7237,21,-277.877,21,-239.8192,21,-185.2411,21,-158.8636,21,-217.0001,21,-148.5852,21,-138.6961,21,-93.3596,21,-132.0046,21,-168.3583,21,-126.1444,21,-152.6819,21,-126.5093,21,-151.107,21,-128.8677,21,-127.0606,21,-93.0275,21,-267.4367,21,14.6067,21,-0.4504,21,-172.7827,21,-87.4454,21,7.4503,21,-37.4275,21,-44.2628,21,-99.4014,21,-107.1566,21,-39.9554,21,-166.6715,21,-117.6343,21,-94.0397,21,-255.0783,21,-228.1561,21,-323.5251,21,-297.4112,21,-257.1448,21,-341.1819,21,-236.8047,21,-138.8379,21,-195.2546,21,-155.1656
22,-269.4242,22,-361.6693,22,-363.5183,22,-328.3694,22,-308.8007,22,-272.0545,22,-320.8303,22,-350.2238,22,-419.9624,22,-268.3879,22,-251.5745,22,-201.2366,22,-172.4835,22,-203.5281,22,-162.3954,22,-143.8053,22,-84.5986,22,-114.3175,22,-149.9998,22,-110.646,22,-131.1258,22,-131.6467,22,-177.9058,22,-132.4989,22,-117.4446,22,-109.5208,22,-269.8508,22,10.6081,22,6.7828,22,-159.8771,22,-90.2395,22,-11.249,22,-37.6269,22,-74.8216,22,-84.1835,22,-96.1605,22,-57.9236,22,-148.7953,22,-114.1493,22,-89.2973,22,-253.1281,22,-231.1223,22,-310.5352,22,-302.3158,22,-257.4613,22,-332.8958,22,-229.7519,22,-136.4646,22,-203.5063,22,-150.4606
23,-279.8583,23,-339.2281,23,-377.4102,23,-354.1643,23,-314.0836,23,-299.4612,23,-334.4762,23,-339.7572,23,-438.2742,23,-275.9839,23,-266.5531,23,-216.5444,23,-193.3543,23,-169.8999,23,-168.813,23,-163.4015,23,-90.8847,23,-124.8433,23,-119.0616,23,-114.2111,23,-107.8285,23,-136.3456,23,-200.9605,23,-141.5229,23,-119.5564,23,-129.6554,23,-267.2551,23,2.6015,23,32.9308,23,-119.2346,23,-114.0637,23,-22.5577,23,-44.6198,23,-85.1185,23,-75.6645,23,-99.7894,23,-80.8092,23,-121.4206,23,-116.622,23,-86.4972,23,-253.8198,23,-256.6542,23,-309.6515,23,-318.8235,23,-292.3733,23,-352.841,23,-250.6454,23,-153.7398,23,-201.3666,23,-159.046
24,-303.4596,24,-350.1637,24,-376.1817,24,-374.7566,24,-305.3479,24,-350.1389,24,-343.3464,24,-337.6796,24,-457.0448,24,-314.0373,24,-281.7696,24,-210.3032,24,-206.3177,24,-149.7292,24,-174.2814,24,-162.1715,24,-114.3924,24,-160.0849,24,-100.1168,24,-134.5272,24,-98.7827,24,-127.7316,24,-196.2213,24,-160.0298,24,-138.0901,24,-137.5579,24,-276.659,24,-6.0356,24,59.5591,24,-66.4105,24,-164.4593,24,-39.848,24,-55.4934,24,-74.7253,24,-68.0408,24,-123.2436,24,-101.8116,24,-105.0447,24,-115.1937,24,-89.322,24,-255.7041,24,-282.7219,24,-329.7597,24,-358.9179,24,-338.3948,24,-405.2104,24,-275.0581,24,-179.528,24,-188.9919,24,-174.2748
25,-336.7753,25,-380.0495,25,-373.0129,25,-387.7695,25,-297.1959,25,-420.5779,25,-365.4672,25,-336.5516,25,-489.4705,25,-387.8349,25,-280.0946,25,-186.5243,25,-218.2687,25,-149.8295,25,-178.062,25,-155.5637,25,-143.8411,25,-179.2294,25,-95.9029,25,-181.2375,25,-93.3228,25,-112.7546,25,-173.2947,25,-164.1824,25,-159.1734,25,-128.5289,25,-292.9101,25,-12.5878,25,56.435,25,-30.6625,25,-218.6539,25,-89.8095,25,-64.0879,25,-62.2878,25,-84.7358,25,-130.4266,25,-128.972,25,-102.1565,25,-112.1647,25,-93.9713,25,-266.6649,25,-318.8446,25,-362.3105,25,-399.9414,25,-358.4626,25,-454.8983,25,-302.2139,25,-199.4509,25,-205.3393,25,-183.9014
26,-361.6836,26,-413.3878,26,-391.4582,26,-401.8917,26,-302.2737,26,-490.3554,26,-405.134,26,-333.7158,26,-525.5017,26,-504.4402,26,-262.9936,26,-179.1344,26,-250.2608,26,-143.9839,26,-187.2333,26,-151.4827,26,-157.6716,26,-190.3911,26,-111.4629,26,-247.1341,26,-90.5669,26,-118.286,26,-157.5513,26,-145.9827,26,-147.5701,26,-106.1461,26,-315.9388,26,-20.0242,26,31.2557,26,-16.046,26,-264.3673,26,-165.7054,26,-72.1414,26,-55.7173,26,-126.0541,26,-124.9731,26,-192.9063,26,-123.9679,26,-124.0245,26,-106.5375,26,-294.7925,26,-372.4488,26,-414.9884,26,-448.264,26,-383.3174,26,-489.8078,26,-327.251,26,-206.767,26,-214.3945,26,-181.5287
27,-375.6163,27,-462.5875,27,-427.0213,27,-424.6576,27,-333.6654,27,-567.6206,27,-452.9871,27,-342.8582,27,-588.9041,27,-637.6598,27,-243.5908,27,-202.6398,27,-304.0535,27,-127.7671,27,-190.9876,27,-148.7276,27,-162.7469,27,-215.5993,27,-118.8675,27,-314.5494,27,-97.6027,27,-146.7418,27,-150.6538,27,-128.2936,27,-137.4445,27,-106.0314,27,-342.7092,27,-41.1703,27,19.4695,27,-20.4042,27,-317.3926,27,-262.1114,27,-108.2581,27,-75.2332,27,-173.7535,27,-113.7002,27,-286.8006,27,-170.7986,27,-161.8702,27,-143.3979,27,-352.4749,27,-432.6713,27,-483.0749,27,-500.0478,27,-442.2893,27,-527.3244,27,-347.865,27,-201.9725,27,-219.6036,27,-172.7285
28,-386.7329,28,-523.2297,28,-482.5456,28,-458.6457,28,-381.9086,28,-660.3175,28,-505.8884,28,-384.4677,28,-670.9056,28,-737.5382,28,-245.2963,28,-253.515,28,-343.3279,28,-121.6067,28,-189.0671,28,-161.1059,28,-166.4018,28,-256.6443,28,-115.6393,28,-365.4602,28,-104.5078,28,-204.2109,28,-152.8864,28,-126.5848,28,-159.5978,28,-139.7777,28,-379.0932,28,-80.9364,28,14.4913,28,-62.0859,28,-374.4929,28,-352.0705,28,-164.1071,28,-118.3701,28,-203.4719,28,-93.6223,28,-373.1082,28,-222.7226,28,-223.5004,28,-209.1849,28,-403.7164,28,-489.7374,28,-560.2853,28,-551.3034,28,-525.3888,28,-574.0047,28,-373.3479,28,-178.0921,28,-226.8776,28,-177.1065
29,-415.067,29,-581.9507,29,-545.6847,29,-497.6036,29,-440.7983,29,-718.54,29,-564.9491,29,-467.5765,29,-740.2286,29,-798.2253,29,-267.3911,29,-329.4572,29,-366.2804,29,-114.3485,29,-205.2423,29,-199.3071,29,-166.5943,29,-305.3473,29,-132.3053,29,-407.0494,29,-120.7923,29,-250.9853,29,-159.4112,29,-129.7226,29,-217.3865,29,-171.871,29,-396.7992,29,-135.5328,29,-8.9958,29,-146.414,29,-422.5705,29,-411.4899,29,-223.8449,29,-156.8725,29,-219.3074,29,-91.22,29,-430.8434,29,-268.5901,29,-303.9162,29,-273.3326,29,-456.1285,29,-550.4336,29,-633.4613,29,-593.3408,29,-618.4184,29,-618.8867,29,-422.3742,29,-163.7967,29,-243.8241,29,-208.4459
30,-469.2078,30,-626.1008,30,-604.6546,30,-541.1554,30,-503.033,30,-742.3249,30,-621.43,30,-565.6156,30,-772.9892,30,-821.044,30,-298.4021,30,-438.2211,30,-411.2052,30,-135.5611,30,-258.3842,30,-259.7362,30,-156.5429,30,-366.2884,30,-155.7,30,-432.9857,30,-164.5936,30,-310.6805,30,-172.5065,30,-117.5252,30,-281.8869,30,-189.9463,30,-422.0741,30,-187.1584,30,-57.5698,30,-247.5136,30,-438.6871,30,-440.3614,30,-297.3866,30,-194.0846,30,-232.2923,30,-103.9205,30,-455.7356,30,-315.0319,30,-392.5989,30,-323.2902,30,-509.4548,30,-604.0682,30,-697.1376,30,-634.0737,30,-707.2632,30,-660.65,30,-509.9802,30,-179.0305,30,-283.9147,30,-255.7394
